Cliente,Fecha,Concepto,Importe
Acme Distribuciones S.L.,2024-01-01,Compra de material informático,10.00
Delta Servicios Técnicos,2024-01-02,Transporte de mercancía,89.19
Eta Farmacia Central,2024-01-03,Revisión anual de equipos,168.38
Beta Consultores S.A.,2024-01-04,Formación interna,247.57
Epsilon Hostelería,2024-01-05,Consultoría técnica,326.76
Theta Mobiliario,2024-01-06,Servicio de mantenimiento,405.95
Gamma Logística,2024-01-07,Compra de material informático,485.14
Zeta Construcciones S.L.,2024-01-08,Transporte de mercancía,564.33
Acme Distribuciones S.L.,2024-01-09,Revisión anual de equipos,643.52
Delta Servicios Técnicos,2024-01-10,Formación interna,722.71
Eta Farmacia Central,2024-01-11,Consultoría técnica,801.90
Beta Consultores S.A.,2024-01-12,Servicio de mantenimiento,881.09
Epsilon Hostelería,2024-01-13,Compra de material informático,960.28
Theta Mobiliario,2024-01-14,Transporte de mercancía,1039.47
Gamma Logística,2024-01-15,Revisión anual de equipos,1118.66
Zeta Construcciones S.L.,2024-01-16,Formación interna,1197.85
Acme Distribuciones S.L.,2024-01-17,Consultoría técnica,1277.04
Delta Servicios Técnicos,2024-01-18,Servicio de mantenimiento,1356.23
Eta Farmacia Central,2024-01-19,Compra de material informático,1435.42
Beta Consultores S.A.,2024-01-20,Transporte de mercancía,1514.61
Epsilon Hostelería,2024-01-21,Revisión anual de equipos,1593.80
Theta Mobiliario,2024-01-22,Formación interna,1672.99
Gamma Logística,2024-01-23,Consultoría técnica,1752.18
Zeta Construcciones S.L.,2024-01-24,Servicio de mantenimiento,1831.37
Acme Distribuciones S.L.,2024-01-25,Compra de material informático,1910.56
Delta Servicios Técnicos,2024-01-26,Transporte de mercancía,1989.75
Eta Farmacia Central,2024-01-27,Revisión anual de equipos,2068.94
Beta Consultores S.A.,2024-01-28,Formación interna,2148.13
Epsilon Hostelería,2024-01-29,Consultoría técnica,2227.32
Theta Mobiliario,2024-01-30,Servicio de mantenimiento,2306.51
Gamma Logística,2024-01-31,Compra de material informático,2385.70
Zeta Construcciones S.L.,2024-02-01,Transporte de mercancía,2464.89
Acme Distribuciones S.L.,2024-02-02,Revisión anual de equipos,44.08
Delta Servicios Técnicos,2024-02-03,Formación interna,123.27
Eta Farmacia Central,2024-02-04,Consultoría técnica,202.46
Beta Consultores S.A.,2024-02-05,Servicio de mantenimiento,281.65
Epsilon Hostelería,2024-02-06,Compra de material informático,360.84
Theta Mobiliario,2024-02-07,Transporte de mercancía,440.03
Gamma Logística,2024-02-08,Revisión anual de equipos,519.22
Zeta Construcciones S.L.,2024-02-09,Formación interna,598.41
Acme Distribuciones S.L.,2024-02-10,Consultoría técnica,677.60
Delta Servicios Técnicos,2024-02-11,Servicio de mantenimiento,756.79
Eta Farmacia Central,2024-02-12,Compra de material informático,835.98
Beta Consultores S.A.,2024-02-13,Transporte de mercancía,915.17
Epsilon Hostelería,2024-02-14,Revisión anual de equipos,994.36
Theta Mobiliario,2024-02-15,Formación interna,1073.55
Gamma Logística,2024-02-16,Consultoría técnica,1152.74
Zeta Construcciones S.L.,2024-02-17,Servicio de mantenimiento,1231.93
Acme Distribuciones S.L.,2024-02-18,Compra de material informático,1311.12
Delta Servicios Técnicos,2024-02-19,Transporte de mercancía,1390.31
Eta Farmacia Central,2024-02-20,Revisión anual de equipos,1469.50
Beta Consultores S.A.,2024-02-21,Formación interna,1548.69
Epsilon Hostelería,2024-02-22,Consultoría técnica,1627.88
Theta Mobiliario,2024-02-23,Servicio de mantenimiento,1707.07
Gamma Logística,2024-02-24,Compra de material informático,1786.26
Zeta Construcciones S.L.,2024-02-25,Transporte de mercancía,1865.45
Acme Distribuciones S.L.,2024-02-26,Revisión anual de equipos,1944.64
Delta Servicios Técnicos,2024-02-27,Formación interna,2023.83
Eta Farmacia Central,2024-02-28,Consultoría técnica,2103.02
Beta Consultores S.A.,2024-02-29,Servicio de mantenimiento,2182.21
Epsilon Hostelería,2024-03-01,Compra de material informático,2261.40
Theta Mobiliario,2024-03-02,Transporte de mercancía,2340.59
Gamma Logística,2024-03-03,Revisión anual de equipos,2419.78
Zeta Construcciones S.L.,2024-03-04,Formación interna,2498.97
Acme Distribuciones S.L.,2024-03-05,Consultoría técnica,78.16
Delta Servicios Técnicos,2024-03-06,Servicio de mantenimiento,157.35
Eta Farmacia Central,2024-03-07,Compra de material informático,236.54
Beta Consultores S.A.,2024-03-08,Transporte de mercancía,315.73
Epsilon Hostelería,2024-03-09,Revisión anual de equipos,394.92
Theta Mobiliario,2024-03-10,Formación interna,474.11
Gamma Logística,2024-03-11,Consultoría técnica,553.30
Zeta Construcciones S.L.,2024-03-12,Servicio de mantenimiento,632.49
Acme Distribuciones S.L.,2024-03-13,Compra de material informático,711.68
Delta Servicios Técnicos,2024-03-14,Transporte de mercancía,790.87
Eta Farmacia Central,2024-03-15,Revisión anual de equipos,870.06
Beta Consultores S.A.,2024-03-16,Formación interna,949.25
