Fecha,Cliente,Concepto,Importe
2024-01-01,Acme Distribuciones S.L.,Compra de material informático,10.00
2024-01-02,Delta Servicios Técnicos,Transporte de mercancía,89.19
2024-01-03,Eta Farmacia Central,Revisión anual de equipos,168.38
2024-01-04,Beta Consultores S.A.,Formación interna,247.57
2024-01-05,Epsilon Hostelería,Consultoría técnica,326.76
2024-01-06,Theta Mobiliario,Servicio de mantenimiento,405.95
2024-01-07,Gamma Logística,Compra de material informático,485.14
2024-01-08,Zeta Construcciones S.L.,Transporte de mercancía,564.33
2024-01-09,Acme Distribuciones S.L.,Revisión anual de equipos,643.52
2024-01-10,Delta Servicios Técnicos,Formación interna,722.71
2024-01-11,Eta Farmacia Central,Consultoría técnica,801.90
2024-01-12,Beta Consultores S.A.,Servicio de mantenimiento,881.09
2024-01-13,Epsilon Hostelería,Compra de material informático,960.28
2024-01-14,Theta Mobiliario,Transporte de mercancía,1039.47
2024-01-15,Gamma Logística,Revisión anual de equipos,1118.66
2024-01-16,Zeta Construcciones S.L.,Formación interna,1197.85
2024-01-17,Acme Distribuciones S.L.,Consultoría técnica,1277.04
2024-01-18,Delta Servicios Técnicos,Servicio de mantenimiento,1356.23
2024-01-19,Eta Farmacia Central,Compra de material informático,1435.42
2024-01-20,Beta Consultores S.A.,Transporte de mercancía,1514.61
2024-01-21,Epsilon Hostelería,Revisión anual de equipos,1593.80
2024-01-22,Theta Mobiliario,Formación interna,1672.99
2024-01-23,Gamma Logística,Consultoría técnica,1752.18
2024-01-24,Zeta Construcciones S.L.,Servicio de mantenimiento,1831.37
2024-01-25,Acme Distribuciones S.L.,Compra de material informático,1910.56
2024-01-26,Delta Servicios Técnicos,Transporte de mercancía,1989.75
2024-01-27,Eta Farmacia Central,Revisión anual de equipos,2068.94
2024-01-28,Beta Consultores S.A.,Formación interna,2148.13
2024-01-29,Epsilon Hostelería,Consultoría técnica,2227.32
2024-01-30,Theta Mobiliario,Servicio de mantenimiento,2306.51
2024-01-31,Gamma Logística,Compra de material informático,2385.70
2024-02-01,Zeta Construcciones S.L.,Transporte de mercancía,2464.89
2024-02-02,Acme Distribuciones S.L.,Revisión anual de equipos,44.08
2024-02-03,Delta Servicios Técnicos,Formación interna,123.27
2024-02-04,Eta Farmacia Central,Consultoría técnica,202.46
2024-02-05,Beta Consultores S.A.,Servicio de mantenimiento,281.65
2024-02-06,Epsilon Hostelería,Compra de material informático,360.84
2024-02-07,Theta Mobiliario,Transporte de mercancía,440.03
